project_id,snapshot_month,ministry,sector,implementing_agency,state,original_cost_cr,planned_duration_months,elapsed_months,physical_progress_pct,financial_progress_pct,expenditure_cr,milestones_total,milestones_delayed,project_status,final_cost_cr,actual_duration_months,cost_overrun,time_overrun
PRJ-0001,2023-07,Ministry of Petroleum and Natural Gas,Petroleum and Natural Gas,IOCL,Himachal Pradesh,581.27,47,3,4.43,5.89,42.34,15,1,Ongoing,730.26,66,1,1
PRJ-0001,2023-09,Ministry of Petroleum and Natural Gas,Petroleum and Natural Gas,IOCL,Himachal Pradesh,581.27,47,5,4.43,7.21,52.53,15,1,Ongoing,730.26,66,1,1
PRJ-0001,2023-11,Ministry of Petroleum and Natural Gas,Petroleum and Natural Gas,IOCL,Himachal Pradesh,581.27,47,7,6.2,8.15,60.0,15,2,Ongoing,730.26,66,1,1
PRJ-0001,2024-02,Ministry of Petroleum and Natural Gas,Petroleum and Natural Gas,IOCL,Himachal Pradesh,581.27,47,10,6.3,10.16,73.8,15,2,Delayed,730.26,66,1,1
PRJ-0001,2024-08,Ministry of Petroleum and Natural Gas,Petroleum and Natural Gas,IOCL,Himachal Pradesh,581.27,47,16,12.32,17.3,127.33,15,4,Delayed,730.26,66,1,1
PRJ-0001,2027-01,Ministry of Petroleum and Natural Gas,Petroleum and Natural Gas,IOCL,Himachal Pradesh,581.27,47,45,53.91,84.87,613.19,15,9,Critical,730.26,66,1,1
PRJ-0002,2024-05,Ministry of Power,Power,SJVN,Haryana,1406.89,60,14,21.11,20.66,294.91,20,0,Ongoing,1422.54,59,0,0
PRJ-0002,2025-09,Ministry of Power,Power,SJVN,Haryana,1406.89,60,30,55.93,56.91,804.77,20,0,Ongoing,1422.54,59,0,0
PRJ-0002,2025-12,Ministry of Power,Power,SJVN,Haryana,1406.89,60,33,65.42,63.94,897.31,20,0,Ongoing,1422.54,59,0,0
PRJ-0002,2026-02,Ministry of Power,Power,SJVN,Haryana,1406.89,60,35,66.02,64.95,911.19,20,1,Ongoing,1422.54,59,0,0
PRJ-0002,2026-07,Ministry of Power,Power,SJVN,Haryana,1406.89,60,40,79.31,79.15,1096.45,20,0,Ongoing,1422.54,59,0,0
PRJ-0002,2027-03,Ministry of Power,Power,SJVN,Haryana,1406.89,60,48,90.45,87.84,1254.96,20,0,Ongoing,1422.54,59,0,0
PRJ-0002,2027-04,Ministry of Power,Power,SJVN,Haryana,1406.89,60,49,90.45,87.84,1231.9,20,0,Ongoing,1422.54,59,0,0
PRJ-0003,2023-02,Ministry of Power,Power,POWERGRID,Gujarat,40.02,25,2,3.54,5.39,2.52,12,1,Ongoing,47.75,34,1,1
PRJ-0003,2023-03,Ministry of Power,Power,POWERGRID,Gujarat,40.02,25,3,4.25,5.68,2.71,12,1,Ongoing,47.75,34,1,1
